date,open,high,low,close,volume,Name
2/8/2013,261.4,265.25,260.555,261.95,3879078,AMZN
2/11/2013,263.2,263.25,256.6,257.21,3403403,AMZN
2/12/2013,259.19,260.16,257,258.7,2938660,AMZN
2/13/2013,261.53,269.96,260.3,269.47,5292996,AMZN
2/14/2013,267.37,270.65,265.4,269.24,3462780,AMZN
2/15/2013,267.63,268.92,263.11,265.09,3979832,AMZN
2/19/2013,265.91,270.11,264.5,269.75,2853752,AMZN
2/20/2013,270.2,274.3,266.371,266.41,3528862,AMZN
2/21/2013,265.12,269.48,263.25,265.94,3637396,AMZN
2/22/2013,266.62,267.11,261.61,265.42,3123402,AMZN
2/25/2013,266.94,268.694,259.65,259.87,3032109,AMZN
2/26/2013,260.89,262.04,255.73,259.36,3348011,AMZN
2/27/2013,259.4,265.83,256.86,263.25,2908010,AMZN
2/28/2013,261.81,267,260.63,264.27,2667199,AMZN
3/1/2013,263.27,266.6,261.04,265.74,2956724,AMZN
3/4/2013,265.36,273.3,264.14,273.11,3452783,AMZN
3/5/2013,274,276.68,269.99,275.59,3685983,AMZN
3/6/2013,275.76,276.489,271.832,273.79,2050452,AMZN
3/7/2013,274.1,274.8,271.85,273.88,1938987,AMZN
3/8/2013,275,275.44,271.5,274.19,1879762,AMZN
3/11/2013,273.43,273.99,270.4,271.24,1904465,AMZN
3/12/2013,271,277.4,270.3601,274.13,3245906,AMZN
3/13/2013,275.24,276.5,272.64,275.1,1884115,AMZN
3/14/2013,269.67,270,263.53,265.74,5226150,AMZN
3/15/2013,264.98,267.26,260.05,261.82,4865572,AMZN
3/18/2013,259.3,261.49,257.12,257.89,2719833,AMZN
3/19/2013,258.4,259.5,252.62,256.41,3738396,AMZN
3/20/2013,258.05,259.76,254.5501,257.278,2734710,AMZN
3/21/2013,256.11,257,252.68,253.39,2805646,AMZN
3/22/2013,254.55,257.77,252.07,257.75,3124199,AMZN
3/25/2013,258.58,259.429,254.5,256.02,2513758,AMZN
3/26/2013,257.05,261.48,256.28,260.31,2420504,AMZN
