date,open,high,low,close,volume,Name
3/27/2014,568,568,552.92,558.46,13052,GOOG
3/28/2014,561.2,566.43,558.67,559.99,41003,GOOG
3/31/2014,566.89,567,556.93,556.97,10772,GOOG
4/1/2014,558.71,568.45,558.71,567.16,7932,GOOG
4/2/2014,565.106,604.83,562.19,567,146697,GOOG
4/3/2014,569.85,587.28,564.13,569.74,5087530,GOOG
4/4/2014,574.65,577.77,543,543.14,6377658,GOOG
4/7/2014,540.74,548.48,527.15,538.15,4389569,GOOG
4/8/2014,542.6,555,541.61,554.9,3152406,GOOG
4/9/2014,559.62,565.37,552.95,564.14,3324742,GOOG
4/10/2014,565,565,539.9,540.95,4027743,GOOG
4/11/2014,532.55,540,526.53,530.6,3916171,GOOG
4/14/2014,538.25,544.1,529.561,532.52,2568020,GOOG
4/15/2014,536.82,538.45,518.4601,536.44,3847453,GOOG
4/16/2014,543,557,540,556.54,4879889,GOOG
4/17/2014,548.81,549.5,531.15,536.1,6795393,GOOG
4/21/2014,536.1,536.7,525.6,528.62,2561214,GOOG
4/22/2014,528.64,537.23,527.51,534.81,2359421,GOOG
4/23/2014,533.79,533.87,526.25,526.94,2051066,GOOG
4/24/2014,530.07,531.65,522.12,525.16,1881965,GOOG
4/25/2014,522.51,524.7,515.42,516.18,2097264,GOOG
4/28/2014,517.18,518.6,502.8,517.15,3326429,GOOG
4/29/2014,516.9,529.46,516.32,527.7,2692489,GOOG
4/30/2014,527.6,528,522.52,526.66,1746904,GOOG
5/1/2014,527.11,532.93,523.88,531.35,1900432,GOOG
5/2/2014,533.76,533.9999,525.61,527.93,1685042,GOOG
5/5/2014,524.82,528.9,521.32,527.81,1021408,GOOG
5/6/2014,525.23,526.81,515.06,515.14,1684381,GOOG
5/7/2014,515.79,516.68,503.3,509.96,3216077,GOOG
5/8/2014,508.46,517.23,506.45,511,2016131,GOOG
5/9/2014,510.75,519.9,504.2,518.73,2432783,GOOG
5/12/2014,523.51,530.19,519.01,529.92,1908392,GOOG
5/13/2014,530.89,536.07,529.51,533.09,1648907,GOOG
5/14/2014,533,533,525.29,526.65,1191863,GOOG
5/15/2014,525.7,525.87,517.42,519.98,1703758,GOOG
5/16/2014,521.39,521.8,515.44,520.63,1481688,GOOG
5/19/2014,519.7,529.78,517.583,528.86,1276362,GOOG
5/20/2014,529.74,536.23,526.3,529.77,1780113,GOOG
5/21/2014,532.9,539.1828,531.91,538.94,1193389,GOOG
5/22/2014,541.13,547.5999,540.78,545.06,1611837,GOOG
5/23/2014,547.26,553.64,543.7,552.7,1929632,GOOG
5/27/2014,556,566,554.35,565.95,2100298,GOOG
5/28/2014,564.57,567.84,561,561.68,1647717,GOOG
5/29/2014,563.35,564,558.71,560.08,1350657,GOOG
5/30/2014,560.8,561.35,555.91,559.89,1766794,GOOG
6/2/2014,560.7,560.9,545.73,553.93,1434989,GOOG
6/3/2014,550.99,552.34,542.55,544.94,1861921,GOOG
6/4/2014,541.5,548.61,538.75,544.66,1812084,GOOG
6/5/2014,546.4,554.95,544.45,553.9,1684886,GOOG
6/6/2014,558.06,558.06,548.93,556.33,1732592,GOOG
6/9/2014,557.15,562.9,556.04,562.12,1463676,GOOG
6/10/2014,560.51,563.6,557.9,560.55,1349444,GOOG
6/11/2014,558,559.88,555.0201,558.84,1097380,GOOG
6/12/2014,557.3,557.99,548.46,551.35,1457104,GOOG
6/13/2014,552.26,552.3,545.56,551.76,1217176,GOOG
6/16/2014,549.26,549.62,541.52,544.28,1704027,GOOG
6/17/2014,544.2,545.32,539.33,543.01,1445878,GOOG
6/18/2014,544.86,553.56,544,553.37,1737343,GOOG
6/19/2014,554.24,555,548.51,554.9,2451341,GOOG
6/20/2014,556.85,557.58,550.3915,556.36,4496962,GOOG
6/23/2014,555.15,565,554.25,564.95,1534659,GOOG
6/24/2014,565.19,572.646,561.01,564.62,2201789,GOOG
6/25/2014,565.26,579.96,565.22,578.65,1964447,GOOG
6/26/2014,581,582.45,571.85,576,1737210,GOOG
6/27/2014,577.18,579.87,573.8,577.24,2231174,GOOG
6/30/2014,578.66,579.57,574.75,575.28,1310909,GOOG
7/1/2014,578.32,584.4,576.65,582.67,1446309,GOOG
7/2/2014,583.35,585.4399,580.39,582.335,1054936,GOOG
7/3/2014,583.35,585.01,580.92,584.73,712210,GOOG
7/7/2014,583.76,586.4299,579.59,582.25,1061833,GOOG
7/8/2014,577.66,579.5284,566.135,571.09,1908647,GOOG
7/9/2014,571.58,576.72,569.376,576.08,1113907,GOOG
7/10/2014,565.91,576.59,565.01,571.1,1353317,GOOG
7/11/2014,571.91,580.85,571.42,579.18,1617569,GOOG
7/14/2014,582.6,585.21,578.03,584.87,1852290,GOOG
7/15/2014,585.74,585.8045,576.56,584.78,1618815,GOOG
7/16/2014,588,588.4,582.2,582.66,1394560,GOOG
7/17/2014,579.53,580.99,568.61,573.7299,3015475,GOOG
7/18/2014,593,596.8,582,595.08,4006389,GOOG
7/21/2014,591.75,594.4,585.2326,589.47,2060334,GOOG
7/22/2014,590.72,599.65,590.6,594.74,1694787,GOOG
7/23/2014,593.23,597.85,592.5,595.98,1229846,GOOG
7/24/2014,596.45,599.5,591.77,593.35,1033341,GOOG
7/25/2014,590.4,591.86,587.03,589.02,932724,GOOG
7/28/2014,588.07,592.5,584.7533,590.6,984161,GOOG
7/29/2014,588.75,589.7,583.515,585.61,1346647,GOOG
7/30/2014,586.55,589.5,584,587.42,1013932,GOOG
7/31/2014,580.6,583.6499,570,571.6,2099516,GOOG
8/1/2014,570.4,575.9599,562.85,566.07,1950171,GOOG
8/4/2014,569.04,575.35,564.1,573.15,1427169,GOOG
8/5/2014,570.05,571.98,562.61,565.07,1556685,GOOG
8/6/2014,561.78,570.7,560,566.374,1330877,GOOG
8/7/2014,568,569.89,561.1,563.36,1108900,GOOG
8/8/2014,563.56,570.25,560.35,568.77,1492491,GOOG
8/11/2014,569.99,570.49,566,567.88,1215968,GOOG
8/12/2014,564.52,565.9,560.88,562.73,1537758,GOOG
8/13/2014,567.31,575,565.75,574.78,1435281,GOOG
8/14/2014,576.18,577.9,570.88,574.65,982926,GOOG
8/15/2014,577.86,579.38,570.52,573.48,1517056,GOOG
8/18/2014,576.11,584.51,576,582.16,1282531,GOOG
8/19/2014,585,587.34,584,586.86,979298,GOOG
8/20/2014,585.88,586.7,582.57,584.49,1034779,GOOG
8/21/2014,583.82,584.5,581.14,583.37,912854,GOOG
8/22/2014,583.59,585.236,580.64,582.56,789484,GOOG
8/25/2014,584.72,585,579,580.2,1358810,GOOG
8/26/2014,581.26,581.8,576.58,577.86,1635465,GOOG
8/27/2014,577.27,578.49,570.103,571,1700161,GOOG
8/28/2014,569.56,573.25,567.1,569.2,1295963,GOOG
8/29/2014,571.33,572.04,567.0692,571.6,1081231,GOOG
9/2/2014,571.85,577.83,571.19,577.33,1576830,GOOG
9/3/2014,580,582.99,575,577.94,1214586,GOOG
9/4/2014,580,586,579.22,581.98,1459956,GOOG
9/5/2014,583.98,586.55,581.95,586.08,1629477,GOOG
9/8/2014,586.6,591.77,586.3,589.72,1429101,GOOG
9/9/2014,588.9,589,580,581.01,1286722,GOOG
9/10/2014,581.5,583.5,576.94,583.1,975145,GOOG
9/11/2014,580.36,581.81,576.26,581.35,1217721,GOOG
9/12/2014,581,581.64,574.46,575.62,1597677,GOOG
9/15/2014,572.94,574.95,568.21,573.1,1596224,GOOG
9/16/2014,572.76,581.5,572.66,579.95,1478306,GOOG
9/17/2014,580.01,587.5199,578.775,584.77,1690994,GOOG
9/18/2014,587,589.54,585,589.27,1442012,GOOG
9/19/2014,591.5,596.48,589.5,596.08,3727045,GOOG
9/22/2014,593.82,593.949,583.46,587.37,1687710,GOOG
9/23/2014,586.85,586.85,581,581.13,1467703,GOOG
9/24/2014,581.46,589.63,580.52,587.99,1724537,GOOG
9/25/2014,587.55,587.98,574.18,575.06,1925350,GOOG
9/26/2014,576.06,579.25,574.66,577.1,1439807,GOOG
9/29/2014,571.75,578.19,571.17,576.36,1281204,GOOG
9/30/2014,576.93,579.85,572.85,577.36,1618437,GOOG
10/1/2014,576.01,577.5799,567.01,568.27,1445027,GOOG
10/2/2014,567.31,571.91,563.32,570.08,1175307,GOOG
10/3/2014,573.05,577.225,572.5,575.28,1138636,GOOG
