date,open,high,low,close,volume,Name
2/8/2013,27.35,27.71,27.31,27.55,33318306,MSFT
2/11/2013,27.65,27.92,27.5,27.86,32247549,MSFT
2/12/2013,27.88,28,27.75,27.88,35990829,MSFT
2/13/2013,27.93,28.11,27.88,28.03,41715530,MSFT
2/14/2013,27.92,28.06,27.87,28.04,32663174,MSFT
2/15/2013,28.04,28.16,27.875,28.01,49650538,MSFT
2/19/2013,27.8801,28.09,27.8,28.045,38804616,MSFT
2/20/2013,28.13,28.2,27.83,27.87,44109412,MSFT
2/21/2013,27.74,27.74,27.23,27.49,49078338,MSFT
2/22/2013,27.68,27.76,27.48,27.76,31425726,MSFT
2/25/2013,27.97,28.05,27.37,27.37,48011248,MSFT
2/26/2013,27.38,27.6,27.34,27.37,49917353,MSFT
2/27/2013,27.42,28,27.33,27.81,36390889,MSFT
2/28/2013,27.88,27.97,27.74,27.8,35836861,MSFT
3/1/2013,27.72,27.98,27.52,27.95,34849287,MSFT
3/4/2013,27.85,28.15,27.7,28.15,38163549,MSFT
3/5/2013,28.29,28.54,28.16,28.35,41431097,MSFT
3/6/2013,28.21,28.23,27.78,28.09,51448452,MSFT
3/7/2013,28.11,28.28,28.005,28.14,29196691,MSFT
3/8/2013,28.25,28.33,27.96,28,37667133,MSFT
3/11/2013,27.94,27.97,27.67,27.87,36627200,MSFT
3/12/2013,27.84,27.95,27.64,27.91,39252591,MSFT
3/13/2013,27.87,28.02,27.75,27.915,29093296,MSFT
3/14/2013,28,28.16,27.93,28.135,55910657,MSFT
3/15/2013,28.03,28.16,27.98,28.035,92709815,MSFT
3/18/2013,27.88,28.28,27.81,28.1,44825522,MSFT
3/19/2013,28.12,28.22,28.03,28.18,51901568,MSFT
3/20/2013,28.34,28.49,28.18,28.315,35447348,MSFT
3/21/2013,28.11,28.36,28.05,28.11,34233061,MSFT
3/22/2013,28.19,28.3379,28.1,28.25,28689434,MSFT
3/25/2013,28.3,28.35,27.96,28.16,44153931,MSFT
3/26/2013,28.24,28.34,28.11,28.155,27822154,MSFT
3/27/2013,28.14,28.445,28.08,28.37,36046203,MSFT
3/28/2013,28.32,28.66,28.26,28.605,55453713,MSFT
4/1/2013,28.64,28.66,28.36,28.61,29199115,MSFT
4/2/2013,28.59,28.85,28.52,28.8,28455715,MSFT
4/3/2013,28.75,28.95,28.54,28.56,35062269,MSFT
4/4/2013,28.39,28.61,28.27,28.595,45262208,MSFT
4/5/2013,28.22,28.78,28.11,28.7,50927261,MSFT
4/8/2013,28.73,28.73,28.47,28.59,34759424,MSFT
4/9/2013,28.73,29.815,28.68,29.61,77733607,MSFT
4/10/2013,29.57,30.32,29.52,30.28,71024236,MSFT
4/11/2013,29.1,29.2,28.73,28.935,130903838,MSFT
4/12/2013,28.85,29.02,28.66,28.79,62882640,MSFT
4/15/2013,28.65,28.98,28.51,28.69,56332862,MSFT
4/16/2013,28.9,29.14,28.695,28.97,52795256,MSFT
4/17/2013,28.85,29.04,28.6,28.825,52840621,MSFT
4/18/2013,28.95,28.98,28.5,28.79,56772087,MSFT
4/19/2013,29.62,30.24,29.61,29.765,99790116,MSFT
4/22/2013,30.3,31.18,30.27,30.83,137901279,MSFT
4/23/2013,30.7,30.9,30.38,30.6,59027213,MSFT
4/24/2013,30.62,31.92,30.6,31.76,90897055,MSFT
4/25/2013,31.71,32.84,31.54,31.94,110685794,MSFT
4/26/2013,31.9,31.98,31.45,31.79,47799284,MSFT
4/29/2013,31.8,32.68,31.77,32.61,59116288,MSFT
4/30/2013,32.56,33.11,32.28,33.1,75116271,MSFT
5/1/2013,32.93,33.08,32.6,32.72,54328805,MSFT
5/2/2013,32.63,33.17,32.39,33.16,46055944,MSFT
